question_id,question_type,question_text,required,options,min_value,max_value,min_label,max_label,section,help_text
IPSS1,single,この1ヶ月の間に、尿をした後にまだ尿が残っている感じがありましたか？,true,0:まったくなかった|1:5回に1回より少ない|2:2回に1回より少ない|3:2回に1回くらい|4:2回に1回より多い|5:ほとんどいつも,,,,,IPSS（排尿症状）,残尿感についてお答えください
IPSS2,single,この1ヶ月の間に、尿をしてから2時間以内にもう一度しなければならないことがありましたか？,true,0:まったくなかった|1:5回に1回より少ない|2:2回に1回より少ない|3:2回に1回くらい|4:2回に1回より多い|5:ほとんどいつも,,,,,IPSS（排尿症状）,頻尿についてお答えください
IPSS3,single,この1ヶ月の間に、尿をしている間に尿が何度もとぎれることがありましたか？,true,0:まったくなかった|1:5回に1回より少ない|2:2回に1回より少ない|3:2回に1回くらい|4:2回に1回より多い|5:ほとんどいつも,,,,,IPSS（排尿症状）,尿線途絶についてお答えください
IPSS4,single,この1ヶ月の間に、尿を我慢することが難しいことがありましたか？,true,0:まったくなかった|1:5回に1回より少ない|2:2回に1回より少ない|3:2回に1回くらい|4:2回に1回より多い|5:ほとんどいつも,,,,,IPSS（排尿症状）,尿意切迫感についてお答えください
IPSS5,single,この1ヶ月の間に、尿の勢いが弱いことがありましたか？,true,0:まったくなかった|1:5回に1回より少ない|2:2回に1回より少ない|3:2回に1回くらい|4:2回に1回より多い|5:ほとんどいつも,,,,,IPSS（排尿症状）,尿勢低下についてお答えください
IPSS6,single,この1ヶ月の間に、尿をし始めるためにお腹に力を入れることがありましたか？,true,0:まったくなかった|1:5回に1回より少ない|2:2回に1回より少ない|3:2回に1回くらい|4:2回に1回より多い|5:ほとんどいつも,,,,,IPSS（排尿症状）,腹圧排尿についてお答えください
IPSS7,single,この1ヶ月の間に、夜寝てから朝起きるまでに、ふつう何回尿をするために起きましたか？,true,0:0回|1:1回|2:2回|3:3回|4:4回|5:5回以上,,,,,IPSS（排尿症状）,夜間頻尿についてお答えください
QOL,single,現在の尿の状態がこのまま変わらずに続くとしたら、どう思いますか？,true,0:とても満足|1:満足|2:だいたい満足|3:満足とも不満ともいえない|4:やや不満|5:いやだ|6:とてもいやだ,,,,,IPSS-QoL,生活の質についてお答えください
MO,single,移動の程度について、今日のあなたの健康状態に最もよくあてはまるものを選んでください,true,1:歩き回るのに問題はない|2:歩き回るのに少し問題がある|3:歩き回るのに中程度の問題がある|4:歩き回るのにかなり問題がある|5:歩き回ることができない,,,,,EQ-5D-5L（健康状態）,
SC,single,身の回りの管理について、今日のあなたの健康状態に最もよくあてはまるものを選んでください,true,1:自分で身体を洗ったり着替えをするのに問題はない|2:自分で身体を洗ったり着替えをするのに少し問題がある|3:自分で身体を洗ったり着替えをするのに中程度の問題がある|4:自分で身体を洗ったり着替えをするのにかなり問題がある|5:自分で身体を洗ったり着替えをすることができない,,,,,EQ-5D-5L（健康状態）,
UA,single,ふだんの活動について、今日のあなたの健康状態に最もよくあてはまるものを選んでください,true,1:ふだんの活動を行うのに問題はない|2:ふだんの活動を行うのに少し問題がある|3:ふだんの活動を行うのに中程度の問題がある|4:ふだんの活動を行うのにかなり問題がある|5:ふだんの活動を行うことができない,,,,,EQ-5D-5L（健康状態）,仕事・勉強・家事・家族の活動・余暇活動など
PD,single,痛み／不快感について、今日のあなたの健康状態に最もよくあてはまるものを選んでください,true,1:痛みや不快感はない|2:少し痛みや不快感がある|3:中程度の痛みや不快感がある|4:かなりの痛みや不快感がある|5:極度の痛みや不快感がある,,,,,EQ-5D-5L（健康状態）,
AD,single,不安／ふさぎ込みについて、今日のあなたの健康状態に最もよくあてはまるものを選んでください,true,1:不安でもふさぎ込んでもいない|2:少し不安あるいはふさぎ込んでいる|3:中程度に不安あるいはふさぎ込んでいる|4:かなり不安あるいはふさぎ込んでいる|5:極度に不安あるいはふさぎ込んでいる,,,,,EQ-5D-5L（健康状態）,
VAS,vas,あなたの今日の健康状態を表す数値を選んでください,true,,0,100,想像できる最悪の健康状態,想像できる最高の健康状態,EQ-5D-5L（健康度VAS）,スライダーを動かしてください
